Date;Team at home;Team away;color
2022-12-28;Zhejiang GB.;Beijing RF;(235, 235, 235, 255)
2022-12-31;Sichuan BW;Beijing RF;(235, 235, 235, 255)
2023-01-02;Beijing RF;Fujian S.;(255, 255, 0, 255)
2023-01-06;Beijing RF;Jilin NE T.;(235, 235, 235, 255)
2023-01-08;Liaoning FL;Beijing RF;(170, 255, 255, 255)
2023-01-14;Beijing RF;Zhejiang GB.;(235, 235, 235, 255)
2023-01-16;Beijing RF;Tianjin;(170, 255, 255, 255)
2023-01-18;Nanjing TX MK;Beijing RF;(235, 235, 235, 255)
2023-02-15;LA Lakers;N.Orleans P.;(235, 235, 235, 255)
2023-02-13;Portland TB;LA Lakers;(144, 238, 144, 255)
2023-02-09;LA Lakers;Milwaukee B.;(255, 182, 193, 255)
2023-02-07;LA Lakers;OKC Thunder;(235, 235, 235, 255)
2023-02-04;N.Orleans P.;LA Lakers;(144, 238, 144, 255)
2023-02-02;Indiana P.;LA Lakers;(255, 182, 193, 255)
2023-01-31;NY Knicks;LA Lakers;(235, 235, 235, 255)
2023-01-30;Brooklyn N.;LA Lakers;(235, 235, 235, 255)
2023-01-25;LA Lakers;San Antonio S.;(235, 235, 235, 255)
2023-02-25;Philadelphia 76;Boston C.;(235, 235, 235, 255)
2023-02-23;Indiana P.;Boston C.;(255, 182, 193, 255)
2023-02-15;Boston C.;Detroit P.;(255, 182, 193, 255)
2023-02-14;Milwaukee B.;Boston C.;(144, 238, 144, 255)
2023-02-12;Boston C.;Memphis G.;(235, 235, 235, 255)
2023-02-10;Boston C.;Charlotte H.;(255, 182, 193, 255)
2023-02-08;Boston C.;Philadelphia 76;(255, 182, 193, 255)
2023-02-06;Detroit P.;Boston C.;(235, 235, 235, 255)
2023-02-03;Boston C.;Phoenix S.;(255, 0, 0, 255)
2023-02-01;Boston C.;Brooklyn N.;(0, 120, 215, 255)
2023-01-28;Boston C.;LA Lakers;(235, 235, 235, 255)
2023-01-26;Boston C.;NY Knicks;(144, 238, 144, 255)
2023-02-14;LA Clippers;GS Warriors;(235, 235, 235, 255)
2023-02-11;GS Warriors;LA Lakers;(255, 182, 193, 255)
